kernel_size,min_apex_val,min_canopy_val,pers_thresh,min_distance,bound_weight,min_area,mAP50,mAP75,PQ,SQ,RQ,avg_trees
7,0.45,0.3,0.1,24.0,1.2,75,2.4257475661650236,0.0,1.3158312374755636,19.580891042496663,2.4257475661650236,20.52
7,0.45,0.3,0.18,24.0,1.2,75,2.4257475661650236,0.0,1.3158312374755636,19.580891042496663,2.4257475661650236,20.52
7,0.45,0.3,0.26,24.0,1.2,75,2.4257475661650236,0.0,1.3158312374755636,19.580891042496663,2.4257475661650236,20.52
11,0.45,0.3,0.1,24.0,1.2,75,2.4257475661650236,0.0,1.3158312374755636,19.580891042496663,2.4257475661650236,20.52
11,0.45,0.3,0.18,24.0,1.2,75,2.4257475661650236,0.0,1.3158312374755636,19.580891042496663,2.4257475661650236,20.52
11,0.45,0.3,0.26,24.0,1.2,75,2.4257475661650236,0.0,1.3158312374755636,19.580891042496663,2.4257475661650236,20.52
15,0.45,0.3,0.1,24.0,1.2,75,2.4257475661650236,0.0,1.3158312374755636,19.580891042496663,2.4257475661650236,20.52
15,0.45,0.3,0.18,24.0,1.2,75,2.4257475661650236,0.0,1.3158312374755636,19.580891042496663,2.4257475661650236,20.52
15,0.45,0.3,0.26,24.0,1.2,75,2.4257475661650236,0.0,1.3158312374755636,19.580891042496663,2.4257475661650236,20.52
7,0.45,0.3,0.1,24.0,1.2,35,2.4200576657382813,0.0,1.3124259950731674,19.580891042496663,2.420057665738281,20.56
7,0.45,0.3,0.18,24.0,1.2,35,2.4200576657382813,0.0,1.3124259950731674,19.580891042496663,2.420057665738281,20.56
7,0.45,0.3,0.26,24.0,1.2,35,2.4200576657382813,0.0,1.3124259950731674,19.580891042496663,2.420057665738281,20.56
11,0.45,0.3,0.1,24.0,1.2,35,2.4200576657382813,0.0,1.3124259950731674,19.580891042496663,2.420057665738281,20.56
11,0.45,0.3,0.18,24.0,1.2,35,2.4200576657382813,0.0,1.3124259950731674,19.580891042496663,2.420057665738281,20.56
11,0.45,0.3,0.26,24.0,1.2,35,2.4200576657382813,0.0,1.3124259950731674,19.580891042496663,2.420057665738281,20.56
15,0.45,0.3,0.1,24.0,1.2,35,2.4200576657382813,0.0,1.3124259950731674,19.580891042496663,2.420057665738281,20.56
15,0.45,0.3,0.18,24.0,1.2,35,2.4200576657382813,0.0,1.3124259950731674,19.580891042496663,2.420057665738281,20.56
15,0.45,0.3,0.26,24.0,1.2,35,2.4200576657382813,0.0,1.3124259950731674,19.580891042496663,2.420057665738281,20.56
7,0.45,0.3,0.05,24.0,1.2,75,2.404349716702658,0.0,1.304469714675883,19.580891042496663,2.404349716702658,20.6
11,0.45,0.3,0.05,24.0,1.2,75,2.404349716702658,0.0,1.304469714675883,19.580891042496663,2.404349716702658,20.6
15,0.45,0.3,0.05,24.0,1.2,75,2.404349716702658,0.0,1.304469714675883,19.580891042496663,2.404349716702658,20.6
7,0.45,0.3,0.05,24.0,1.2,35,2.3986598162759156,0.0,1.3010644722734868,19.580891042496663,2.3986598162759156,20.64
11,0.45,0.3,0.05,24.0,1.2,35,2.3986598162759156,0.0,1.3010644722734868,19.580891042496663,2.3986598162759156,20.64
15,0.45,0.3,0.05,24.0,1.2,35,2.3986598162759156,0.0,1.3010644722734868,19.580891042496663,2.3986598162759156,20.64
7,0.55,0.3,0.1,24.0,1.2,35,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
7,0.55,0.3,0.1,24.0,1.2,75,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
7,0.55,0.3,0.18,24.0,1.2,75,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
7,0.55,0.3,0.18,24.0,1.2,35,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
7,0.55,0.3,0.26,24.0,1.2,75,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
7,0.55,0.3,0.26,24.0,1.2,35,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
11,0.55,0.3,0.1,24.0,1.2,35,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
11,0.55,0.3,0.1,24.0,1.2,75,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
11,0.55,0.3,0.18,24.0,1.2,75,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
11,0.55,0.3,0.18,24.0,1.2,35,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
11,0.55,0.3,0.26,24.0,1.2,75,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
11,0.55,0.3,0.26,24.0,1.2,35,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
15,0.55,0.3,0.1,24.0,1.2,75,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
15,0.55,0.3,0.1,24.0,1.2,35,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
15,0.55,0.3,0.18,24.0,1.2,35,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
15,0.55,0.3,0.18,24.0,1.2,75,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
15,0.55,0.3,0.26,24.0,1.2,75,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
15,0.55,0.3,0.26,24.0,1.2,35,2.307337370409859,0.0,1.2841052720836208,17.906603853334925,2.307337370409859,18.16
7,0.55,0.3,0.05,24.0,1.2,75,2.2981419681110085,0.0,1.279459746277364,17.906603853334925,2.2981419681110085,18.2
7,0.55,0.3,0.05,24.0,1.2,35,2.2981419681110085,0.0,1.279459746277364,17.906603853334925,2.2981419681110085,18.2
