metric,value
mean_entropy,0.05842047538608312
mean_off_diag_sim,0.22332977131009102
mean_grad_sim,0.3770197778940201
expert_0_change_prob,0.4488585559543072
expert_0_token_count,9433
expert_1_change_prob,0.20383600057994972
expert_1_token_count,9523
expert_2_change_prob,0.20268484053306818
expert_2_token_count,9584
expert_3_change_prob,0.4378810793119484
expert_3_token_count,10399
sim_0_0,1.0
param_dist_0_0,0.0
grad_sim_0_0,1.0
sim_0_1,0.542891
param_dist_0_1,19.1845
grad_sim_0_1,0.399678
sim_0_2,0.061362
param_dist_0_2,19.3203
grad_sim_0_2,0.360016
sim_0_3,0.095677
param_dist_0_3,19.3753
grad_sim_0_3,0.355833
sim_1_0,0.542891
param_dist_1_0,19.1845
grad_sim_1_0,0.399678
sim_1_1,1.0
param_dist_1_1,0.0
grad_sim_1_1,1.0
sim_1_2,0.052727
param_dist_1_2,19.2719
grad_sim_1_2,0.400062
sim_1_3,0.099274
param_dist_1_3,19.3084
grad_sim_1_3,0.366992
sim_2_0,0.061362
param_dist_2_0,19.3203
grad_sim_2_0,0.360016
sim_2_1,0.052727
param_dist_2_1,19.2719
grad_sim_2_1,0.400062
sim_2_2,1.0
param_dist_2_2,0.0
grad_sim_2_2,1.0
sim_2_3,0.488048
param_dist_2_3,19.1888
grad_sim_2_3,0.379537
sim_3_0,0.095677
param_dist_3_0,19.3753
grad_sim_3_0,0.355833
sim_3_1,0.099274
param_dist_3_1,19.3084
grad_sim_3_1,0.366992
sim_3_2,0.488048
param_dist_3_2,19.1888
grad_sim_3_2,0.379537
sim_3_3,1.0
param_dist_3_3,0.0
grad_sim_3_3,1.0
