tp,fp,fn,tn,precision,recall,f1,iou,stem,mean_token_prob,mean_pixel_prob,mean_within_token_variance,boundary_inconsistency,interior_inconsistency
1886,77596,4089,178573,0.023728642963186632,0.31564853556485356,0.044139157705044646,0.02256763709899367,01658,0.3164594769477844,0.3401300013065338,2.3628477427772295e-15,0.29235604405403137,0.0
5679,38565,2835,215065,0.12835638730675344,0.6670190274841438,0.21528488570453766,0.12062703116038999,01992,0.19588196277618408,0.21801498532295227,8.740718112009649e-16,0.20166976749897003,0.0
5279,135913,980,119972,0.03738880389823786,0.843425467327049,0.07160344792507341,0.03713108066285907,01770,0.42500975728034973,0.5128917694091797,3.804002886793571e-15,0.3658214509487152,0.0
10092,65098,32178,154776,0.13421997606064637,0.23875088715400994,0.17183722118167888,0.09399448625288727,00912,0.29251939058303833,0.2904481291770935,1.4924546280061655e-15,0.2770521640777588,0.0
19622,193117,1659,47746,0.09223508618541969,0.9220431370706264,0.16769506879753865,0.09152137613224004,02311,0.6354323625564575,0.7231564521789551,5.810179208895791e-15,0.13608740270137787,0.0
23061,62323,49652,127108,0.27008573034760613,0.3171509908819606,0.29173229093531183,0.17077668177374922,02545,0.40808171033859253,0.3986470699310303,2.5367328951395735e-15,0.35870638489723206,0.0
72500,41029,37562,111053,0.6386033524473923,0.6587196307535752,0.6485055301868142,0.4798432732591617,01031,0.3823358416557312,0.41293981671333313,2.7115401372001112e-15,0.2816260755062103,0.0
8229,20279,30276,203360,0.2886558159113231,0.21371250486949747,0.24559413845074834,0.13998707131192162,10345,0.18236391246318817,0.19418281316757202,1.5353373579355223e-15,0.22018957138061523,0.0
49070,81932,36541,94601,0.3745744339781072,0.573174008012989,0.4530660671335515,0.2928800367666808,08519,0.39832672476768494,0.4472809433937073,3.456392712234352e-15,0.36008673906326294,0.0
21398,63078,18503,159165,0.25330271319664754,0.5362772862835518,0.3440829092195502,0.2077899377542994,01577,0.24718314409255981,0.3685896098613739,1.5601492947635447e-15,0.1899687647819519,0.0
4949,76766,11613,168816,0.06056415590772808,0.2988165680473373,0.10071532505062224,0.05302803017315275,02239,0.4261905550956726,0.3732759356498718,4.179385583815732e-15,0.3671431839466095,0.0
22504,50253,34470,154917,0.3093035721648776,0.39498718713799275,0.34693326961173504,0.20987251345276842,01332,0.3364785313606262,0.3069050908088684,2.359296131548768e-15,0.3004131615161896,0.0
61173,65600,37706,97665,0.48253965749804767,0.6186652373102479,0.54218885717831,0.3719198195514321,01147,0.41274604201316833,0.4805371165275574,3.789213889175532e-15,0.2920769155025482,0.0
62612,7403,42125,150004,0.8942655145326002,0.59780211386616,0.716581212232192,0.5583377920456573,07656,0.2670818567276001,0.26111990213394165,5.129888604151934e-15,0.21238850057125092,0.0
12755,52465,16680,180244,0.19556884391291016,0.43332767113979953,0.26950504463578256,0.15573870573870574,11204,0.19465403258800507,0.22432664036750793,1.6208958078262795e-15,0.2888956367969513,0.0
5051,114849,4649,137595,0.04212677231025855,0.520721649484536,0.07794753086419753,0.040554319986511336,03182,0.40340742468833923,0.4420153498649597,2.0812943641544905e-15,0.27912458777427673,0.0
25953,15492,18727,201972,0.6262034020991676,0.580863921217547,0.6026821480406387,0.43131356777238583,02593,0.10552092641592026,0.15570594370365143,7.009522174468109e-16,0.12582583725452423,0.0
46060,90211,54725,71148,0.3380029500040361,0.4570124522498388,0.388600161987041,0.2411568828666569,00569,0.4183730185031891,0.5132387280464172,2.6223107766840276e-15,0.376035213470459,0.0
46117,88974,36263,90790,0.341377293824163,0.5598082058752124,0.42412091727172824,0.2691329061475075,05151,0.47227397561073303,0.5200057625770569,2.2257964042408258e-15,0.27984419465065,0.0
1093,41234,12229,207588,0.025822760885486806,0.08204473802732322,0.0392819277974447,0.020034460004399148,00802,0.1932481974363327,0.22887933254241943,1.2010026444834264e-15,0.2050672024488449,0.0
7350,113299,3347,138148,0.060920521512818175,0.6871085351032999,0.11191813987483441,0.05927610568082842,04324,0.4396686851978302,0.43066227436065674,2.9434546359756163e-15,0.25581344962120056,0.0
26899,29642,34562,171041,0.47574326594860367,0.4376596540895853,0.45590752699106796,0.2952592121005894,06019,0.2399386316537857,0.26411813497543335,1.5398767353378682e-15,0.25089767575263977,0.0
28688,122015,5043,106398,0.19036117396468552,0.8504936112181672,0.31109231486602257,0.18419734696236179,01956,0.5258821249008179,0.5950934886932373,5.688081097234316e-15,0.3210299015045166,0.0
15837,117125,20241,108941,0.1191092191754035,0.4389655745883918,0.18737576904874584,0.10337264936065221,00901,0.38865453004837036,0.42671236395835876,2.007387164563556e-15,0.30782562494277954,0.0
6118,24393,33746,197887,0.2005178460227459,0.15347180413405578,0.17386856127886324,0.09521141665499479,11086,0.16277386248111725,0.12923972308635712,7.916028885593557e-16,0.18863391876220703,0.0
21311,83834,7385,149614,0.20268201055685006,0.7426470588235294,0.3184524921361915,0.18938060961521372,06745,0.3876485526561737,0.40555399656295776,2.7383090053630676e-15,0.32139548659324646,0.0
3949,67397,12444,178354,0.055349984582177,0.24089550417861283,0.09001698218580108,0.0471297290846163,01883,0.2836037874221802,0.2844754159450531,1.945593479204246e-15,0.28148946166038513,0.0
29545,119216,10112,103271,0.19860716182332736,0.7450134906826034,0.31361122610366315,0.1859661490624587,03650,0.5105003118515015,0.5726537108421326,6.355985513039117e-15,0.27104824781417847,0.0
18722,71924,26284,145214,0.20653972596694836,0.4159889792472115,0.27602984106389883,0.1601128880526811,08132,0.32185789942741394,0.33571887016296387,2.2666462979636484e-15,0.32914817333221436,0.0
22206,91712,10328,137898,0.19492968626555943,0.6825474887809676,0.30325294294376315,0.17872607568855337,09548,0.4098007082939148,0.41752195358276367,2.9829717244142346e-15,0.3136584460735321,0.0
145750,72285,25754,18355,0.6684706583805352,0.8498344061946077,0.7483204505838954,0.5978530614588845,04629,0.6905285716056824,0.7456076741218567,8.209489315540556e-15,0.2272045910358429,0.0
57486,116678,16174,71806,0.3300682115707035,0.7804235677436873,0.46392601200852224,0.30202061595687674,08943,0.4914921224117279,0.5597814321517944,3.0581398765638095e-15,0.3170352578163147,0.0
40269,57674,55669,108532,0.4111472999601809,0.41973983197481707,0.4153991365837808,0.2621474884774627,01424,0.4268074035644531,0.45122405886650085,2.248927788181467e-15,0.26206713914871216,0.0
